Nome,Carta_Scelta,Punteggio
Ivy,Re di Fiori,10
Henry,Due di Cuori,5
Alice,Cinque di Fiori,3
Alice,Fante di Fiori,10
Carol,Quattro di Fiori,7
Eva,Cinque di Cuori,6
David,Quattro di Cuori,2
Ivy,Sette di Quadri,1
Grace,Nove di Picche,10
Henry,Tre di Picche,9
Grace,Regina di Quadri,2
Eva,Quattro di Fiori,2
Jack,Nove di Picche,4
David,Dieci di Fiori,4
Jack,Due di Cuori,2
David,Re di Quadri,3
Alice,Sei di Fiori,5
Bob,Quattro di Fiori,8
Alice,Re di Quadri,2
Ivy,Dieci di Fiori,5
Bob,Re di Cuori,2
Grace,Fante di Picche,8
Grace,Re di Fiori,5
Jack,Sette di Cuori,8
Bob,Regina di Quadri,5
Ivy,Asso di Picche,9
Grace,Cinque di Fiori,5
Frank,Regina di Picche,10
Eva,Nove di Cuori,6
Grace,Fante di Quadri,9
Jack,Re di Quadri,10
Jack,Re di Picche,2
Jack,Sette di Fiori,1
Jack,Sette di Quadri,3
Frank,Regina di Quadri,4
Jack,Due di Picche,8
Henry,Nove di Cuori,4
Henry,Tre di Picche,10
Grace,Nove di Fiori,5
Alice,Asso di Picche,9
Carol,Quattro di Quadri,8
Carol,Fante di Quadri,10
Ivy,Nove di Cuori,9
Alice,Nove di Picche,6
Jack,Quattro di Picche,3
Bob,Dieci di Cuori,4
Alice,Due di Picche,10
Jack,Tre di Picche,5
Henry,Cinque di Cuori,3
Grace,Sei di Fiori,1
Ivy,Sei di Cuori,3
Henry,Nove di Fiori,2
Jack,Nove di Fiori,8
Carol,Dieci di Quadri,8
Bob,Due di Fiori,9
Frank,Nove di Quadri,1
David,Re di Quadri,8
Grace,Due di Cuori,7
Eva,Tre di Fiori,4
Henry,Sei di Picche,6
Jack,Nove di Fiori,9
Frank,Nove di Fiori,9
Alice,Otto di Quadri,3
Carol,Dieci di Picche,1
Ivy,Fante di Picche,6
Alice,Asso di Fiori,9
Ivy,Nove di Fiori,2
Henry,Sei di Quadri,7
David,Re di Picche,7
Alice,Fante di Fiori,10
Eva,Cinque di Cuori,7
Bob,Tre di Picche,10
Eva,Sei di Quadri,1
Bob,Asso di Picche,4
Henry,Sette di Quadri,6
Bob,Fante di Picche,10
Ivy,Fante di Picche,5
Henry,Fante di Fiori,8
Jack,Dieci di Picche,10
Henry,Sei di Quadri,9
Frank,Asso di Picche,3
Eva,Due di Quadri,10
David,Sei di Picche,4
Eva,Fante di Fiori,10
Jack,Dieci di Quadri,1
Eva,Asso di Picche,5
Jack,Quattro di Picche,2
David,Sei di Picche,4
Ivy,Nove di Cuori,6
Bob,Re di Cuori,8
Ivy,Dieci di Picche,9
Frank,Nove di Picche,10
Eva,Cinque di Cuori,3
Alice,Quattro di Fiori,9
Alice,Sette di Quadri,4
Jack,Dieci di Fiori,8
Ivy,Dieci di Picche,10
Frank,Sei di Quadri,6
Jack,Due di Fiori,6
Ivy,Otto di Quadri,10
Eva,Dieci di Cuori,10
Henry,Sei di Cuori,3
David,Sei di Cuori,5
Grace,Cinque di Fiori,7
Bob,Re di Picche,1
Eva,Due di Quadri,4
Ivy,Due di Fiori,5
David,Quattro di Cuori,6
David,Fante di Cuori,8
Carol,Nove di Quadri,8
David,Nove di Quadri,3
Ivy,Otto di Cuori,5
Grace,Due di Cuori,5
Grace,Nove di Fiori,4
David,Asso di Cuori,4
Eva,Due di Picche,9
Henry,Otto di Fiori,5
Henry,Otto di Quadri,4
Jack,Sei di Cuori,4
David,Nove di Fiori,1
Bob,Otto di Fiori,7
Bob,Cinque di Fiori,5
David,Asso di Quadri,3
Eva,Otto di Fiori,3
Henry,Sette di Quadri,6
Eva,Sette di Cuori,4
Alice,Due di Fiori,5
Jack,Otto di Picche,3
Grace,Sei di Picche,6
David,Regina di Quadri,10
Carol,Dieci di Picche,4
Alice,Sette di Cuori,10
David,Dieci di Quadri,8
Henry,Otto di Cuori,8
David,Otto di Fiori,1
Ivy,Sette di Fiori,3
Eva,Asso di Cuori,1
Alice,Tre di Cuori,6
Henry,Dieci di Cuori,6
Grace,Fante di Fiori,2
David,Cinque di Quadri,10
Grace,Due di Picche,7
Ivy,Regina di Cuori,1
Jack,Due di Quadri,6
Alice,Quattro di Cuori,6
Ivy,Quattro di Fiori,10
Grace,Cinque di Fiori,5
Ivy,Dieci di Picche,4
Ivy,Cinque di Picche,6
Bob,Asso di Picche,2
Frank,Due di Picche,1
Alice,Cinque di Fiori,8
Jack,Otto di Cuori,3
Alice,Otto di Picche,3
Henry,Due di Quadri,3
Henry,Regina di Fiori,10
Grace,Sette di Picche,5
Henry,Due di Cuori,4
Grace,Re di Fiori,4
Bob,Dieci di Picche,9
Jack,Sei di Cuori,1
David,Cinque di Fiori,4
Eva,Tre di Quadri,5
Frank,Regina di Fiori,3
Jack,Quattro di Picche,10
Bob,Tre di Cuori,7
Grace,Otto di Picche,5
Eva,Sei di Cuori,4
Ivy,Sei di Fiori,5
Eva,Dieci di Quadri,10
Henry,Re di Quadri,3
Henry,Quattro di Cuori,2
David,Sei di Cuori,10
Frank,Cinque di Quadri,8
David,Asso di Quadri,6
David,Re di Cuori,8
Bob,Otto di Picche,5
Bob,Fante di Cuori,9
Carol,Otto di Fiori,8
Eva,Quattro di Picche,3
David,Re di Picche,4
Frank,Sette di Cuori,9
Grace,Re di Cuori,3
Bob,Tre di Fiori,2
Grace,Tre di Fiori,3
Carol,Sette di Cuori,7
David,Regina di Quadri,9
Alice,Dieci di Fiori,8
Frank,Otto di Picche,8
Bob,Sette di Picche,5
Carol,Tre di Fiori,8
David,Due di Quadri,6
Frank,Cinque di Fiori,9
Frank,Fante di Quadri,2
Eva,Sei di Picche,2
Jack,Nove di Cuori,3
Eva,Tre di Fiori,1
Frank,Tre di Picche,10
Bob,Regina di Cuori,10
Henry,Due di Fiori,8
Ivy,Sei di Cuori,7
Eva,Tre di Fiori,9
Eva,Cinque di Fiori,7
Eva,Dieci di Picche,8
Jack,Fante di Fiori,6
Jack,Asso di Cuori,8
Grace,Re di Quadri,6
Ivy,Fante di Cuori,9
Henry,Dieci di Quadri,10
Ivy,Regina di Fiori,1
Grace,Dieci di Cuori,1
Ivy,Sette di Fiori,4
Grace,Nove di Picche,5
Grace,Fante di Picche,6
Grace,Sette di Cuori,9
Alice,Tre di Fiori,3
David,Fante di Picche,4
Alice,Dieci di Picche,5
Carol,Dieci di Fiori,10
Jack,Sei di Picche,9
Carol,Due di Cuori,3
Jack,Re di Cuori,8
Carol,Regina di Quadri,6
David,Asso di Fiori,4
Carol,Fante di Cuori,8
Henry,Regina di Quadri,3
Henry,Due di Picche,6
Grace,Fante di Fiori,9
Carol,Regina di Picche,1
Bob,Nove di Cuori,3
Henry,Asso di Cuori,9
David,Due di Quadri,9
Bob,Regina di Picche,7
Carol,Fante di Quadri,7
Carol,Quattro di Cuori,2
Carol,Dieci di Quadri,10
Ivy,Sette di Cuori,2
Ivy,Sette di Quadri,6
Grace,Tre di Fiori,6
Henry,Tre di Fiori,4
Grace,Quattro di Fiori,6
Frank,Fante di Fiori,1
Carol,Dieci di Cuori,8
Alice,Tre di Fiori,8
Frank,Nove di Fiori,5
Alice,Regina di Picche,10
Eva,Tre di Picche,1
Frank,Sei di Quadri,4
David,Tre di Quadri,8
David,Sette di Quadri,2
Carol,Cinque di Picche,2
Grace,Sei di Cuori,9
Bob,Cinque di Cuori,9
Bob,Dieci di Quadri,7
Grace,Otto di Cuori,4
Eva,Quattro di Cuori,9
Ivy,Fante di Quadri,2
Frank,Fante di Quadri,4
Jack,Fante di Fiori,3
Bob,Sette di Fiori,2
Eva,Due di Quadri,4
Grace,Otto di Fiori,1
Bob,Asso di Quadri,7
Frank,Asso di Picche,8
Alice,Sei di Picche,9
Henry,Sei di Picche,9
Alice,Cinque di Fiori,5
Bob,Regina di Fiori,4
Frank,Dieci di Cuori,2
Eva,Fante di Picche,10
Carol,Tre di Picche,2
Frank,Otto di Quadri,8
Frank,Fante di Cuori,8
Henry,Quattro di Fiori,6
Alice,Sette di Quadri,6
Alice,Tre di Picche,9
Jack,Asso di Picche,8
Grace,Quattro di Fiori,3
Ivy,Sette di Cuori,8
Jack,Fante di Picche,1
Alice,Sei di Fiori,10
Ivy,Sei di Cuori,10
Eva,Otto di Cuori,4
Grace,Nove di Picche,4
Frank,Sette di Fiori,5
Frank,Sei di Fiori,5
Frank,Re di Fiori,9
Alice,Otto di Quadri,9
Bob,Regina di Quadri,1
Ivy,Asso di Cuori,7
Alice,Re di Cuori,6
Henry,Tre di Picche,3
Ivy,Sei di Quadri,6
Bob,Re di Picche,9
Alice,Asso di Fiori,2
Henry,Dieci di Quadri,9
Henry,Regina di Picche,10
Bob,Dieci di Quadri,1
Eva,Tre di Cuori,7
Carol,Nove di Quadri,10
Grace,Sei di Fiori,8
Eva,Nove di Picche,7
Bob,Sei di Picche,1
Carol,Asso di Picche,6
Carol,Asso di Cuori,4
Henry,Cinque di Picche,3
Alice,Fante di Quadri,1
David,Cinque di Picche,8
Alice,Otto di Quadri,1
Frank,Regina di Fiori,9
David,Due di Cuori,9
David,Due di Picche,1
Carol,Cinque di Fiori,6
Grace,Dieci di Quadri,9
David,Tre di Fiori,2
Alice,Nove di Picche,5
Grace,Tre di Fiori,10
Bob,Re di Fiori,6
Bob,Regina di Picche,6
Ivy,Cinque di Quadri,7
David,Nove di Fiori,2
Eva,Tre di Quadri,4
Carol,Re di Cuori,7
Bob,Fante di Picche,4
Henry,Otto di Fiori,10
Henry,Sette di Cuori,1
Eva,Re di Quadri,6
Carol,Tre di Cuori,2
Carol,Dieci di Cuori,7
Eva,Asso di Quadri,5
Alice,Sette di Fiori,3
Carol,Tre di Cuori,9
Bob,Re di Quadri,1
Eva,Re di Fiori,5
Grace,Otto di Picche,5
Frank,Sei di Picche,3
Jack,Quattro di Picche,10
Jack,Dieci di Picche,7
Jack,Re di Cuori,5
Carol,Sei di Picche,7
Bob,Dieci di Cuori,6
Jack,Tre di Quadri,8
Alice,Asso di Cuori,8
Carol,Sette di Cuori,5
Henry,Sette di Fiori,7
Frank,Regina di Picche,6
Henry,Re di Cuori,2
Bob,Dieci di Picche,9
Grace,Tre di Quadri,9
Grace,Dieci di Cuori,3
Eva,Nove di Fiori,2
David,Nove di Quadri,2
Frank,Asso di Fiori,3
Henry,Due di Quadri,7
Alice,Due di Picche,10
Eva,Quattro di Quadri,5
Eva,Dieci di Picche,6
Ivy,Asso di Cuori,6
Ivy,Dieci di Picche,3
Bob,Nove di Fiori,1
Bob,Otto di Cuori,4
Carol,Quattro di Cuori,6
David,Re di Fiori,4
Bob,Sei di Fiori,3
Alice,Asso di Fiori,8
David,Sei di Quadri,8
Alice,Sei di Quadri,1
Bob,Re di Quadri,7
Ivy,Otto di Quadri,4
Frank,Re di Fiori,4
Frank,Tre di Quadri,8
Bob,Nove di Fiori,2
Bob,Dieci di Fiori,3
Grace,Nove di Picche,5
Grace,Dieci di Quadri,10
Henry,Sette di Fiori,10
Ivy,Re di Cuori,8
Bob,Regina di Quadri,1
David,Sei di Cuori,6
Carol,Nove di Quadri,10
Alice,Fante di Quadri,3
Frank,Cinque di Cuori,10
Henry,Regina di Fiori,9
Carol,Re di Picche,4
Henry,Regina di Fiori,6
Carol,Tre di Picche,8
Henry,Due di Picche,2
Bob,Cinque di Fiori,10
Carol,Nove di Fiori,8
Grace,Nove di Quadri,4
Henry,Tre di Picche,6
Bob,Quattro di Picche,4
Grace,Regina di Picche,1
Ivy,Tre di Cuori,2
Eva,Regina di Picche,3
Jack,Fante di Fiori,8
Jack,Cinque di Cuori,6
Frank,Cinque di Fiori,9
Henry,Sette di Picche,1
Ivy,Quattro di Quadri,5
Frank,Tre di Picche,6
Grace,Cinque di Quadri,10
Frank,Quattro di Cuori,9
Jack,Regina di Quadri,1
Alice,Quattro di Picche,9
Henry,Fante di Picche,8
Bob,Sette di Quadri,2
David,Asso di Picche,9
Henry,Fante di Picche,2
David,Re di Fiori,1
Alice,Nove di Cuori,6
Alice,Due di Quadri,9
Alice,Otto di Picche,6
Ivy,Nove di Cuori,7
Ivy,Tre di Picche,2
Grace,Regina di Fiori,2
Carol,Sette di Picche,2
Alice,Sei di Quadri,1
Ivy,Otto di Fiori,8
Bob,Fante di Fiori,5
Carol,Asso di Fiori,5
Jack,Dieci di Cuori,10
Bob,Otto di Quadri,7
Henry,Sette di Quadri,9
Henry,Asso di Quadri,8
Henry,Nove di Cuori,1
Grace,Fante di Quadri,7
Carol,Nove di Quadri,5
Eva,Due di Picche,4
Carol,Otto di Quadri,3
Carol,Cinque di Quadri,10
Jack,Tre di Quadri,6
Alice,Tre di Cuori,2
Frank,Dieci di Cuori,9
Henry,Nove di Quadri,4
David,Tre di Quadri,8
Jack,Sette di Fiori,8
Henry,Cinque di Picche,5
Carol,Fante di Cuori,3
Henry,Otto di Picche,9
David,Regina di Quadri,3
Jack,Quattro di Fiori,3
Eva,Sei di Quadri,6
Eva,Sei di Fiori,9
Bob,Otto di Cuori,6
Frank,Otto di Picche,10
Alice,Fante di Fiori,7
Eva,Asso di Picche,7
Ivy,Due di Fiori,6
Alice,Asso di Picche,10
Eva,Nove di Fiori,9
Ivy,Sei di Picche,7
Alice,Otto di Quadri,2
Ivy,Dieci di Picche,7
David,Regina di Fiori,10
Grace,Due di Quadri,3
Henry,Cinque di Fiori,2
Carol,Re di Quadri,4
Henry,Cinque di Fiori,9
Eva,Fante di Picche,2
Eva,Sei di Fiori,3
Ivy,Re di Fiori,1
David,Regina di Cuori,3
Eva,Re di Picche,10
Alice,Sette di Quadri,8
Jack,Dieci di Cuori,9
Eva,Cinque di Cuori,2
Ivy,Asso di Fiori,4
Eva,Cinque di Fiori,4
David,Sette di Quadri,3
Grace,Fante di Fiori,3
Ivy,Tre di Picche,6
Grace,Otto di Picche,5
Carol,Sei di Fiori,2
Bob,Otto di Cuori,6
Frank,Dieci di Quadri,5
Carol,Tre di Cuori,9
Jack,Quattro di Picche,3
Jack,Nove di Fiori,1
David,Fante di Quadri,9
